title,type,description,release_year,runtime,genres,imdb_score,tmdb_popularity,service
Bird of Paradise,MOVIE,"When a young South Seas sailor falls overboard, the beautiful daughter of a Polynesian king dives in and saves his life. Thus begins the romance of Johnny and Luana. Though Luana is promised to another man, Johnny whisks her away, and for a brief time the lovers live very happily together. But, when a local volcano threatens their lives, Luana knows that she must sacrifice herself to the volcanic gods in order to save her island.",1932,80,"['romance', 'drama']",6.0,3.164,Paramount
The Lost World,MOVIE,The first film adaptation of Sir Arthur Conan Doyle's classic novel about a land where prehistoric creatures still roam.,1925,93,"['fantasy', 'thriller', 'scifi']",7.0,8.026,Paramount
The Private Life of Henry VIII,MOVIE,"Renowned for his excess, King Henry VIII goes through a series of wives during his rule. With Anne Boleyn, his second wife, executed on charges of treason, King Henry weds maid Jane Seymour, but that marriage also ends in tragedy. Not one to be single for long, the king picks German-born Anne of Cleves as his bride, but their union lasts only months before an annulment is granted, and King Henry continues his string of spouses.",1933,90,"['history', 'comedy', 'drama', 'romance']",7.0,5.268,Paramount
The Southerner,MOVIE,"Sam Tucker, a cotton picker, in search of a better future for his family, decides to grow his own cotton crop. In the first year, the Tuckers battle disease, a flood, and a jealous neighbor. Can they make it as farmers?",1945,92,['drama'],7.1,3.753,Paramount
A Farewell to Arms,MOVIE,"A tale of the World War I love affair, begun in Italy, between American ambulance driver Lt. Frederic Henry and British nurse Catherine Barkley. Eventually separated by Frederic's transfer, tremendous challenges and difficult decisions face each as the war rages on.",1932,89,"['drama', 'romance', 'war']",6.4,7.581,Paramount
The Scarlet Letter,MOVIE,"In the seventeenth century, in Massachusetts, a young woman is forced to wear a scarlet ""A"" on her dress for bearing a child out of wedlock.",1934,69,"['drama', 'history', 'romance']",5.3,1.666,Paramount
The Big Lift,MOVIE,The Berlin Air Lift from the point of view of two NCOs.,1950,120,"['drama', 'war']",6.5,2.667,Paramount
Why We Fight: Prelude to War,MOVIE,"Prelude to War was the first film of Frank Capra's Why We Fight propaganda film series, commissioned by the Pentagon and George C. Marshall. It was made to convince American troops of the necessity of combating the Axis Powers during World War II. This film examines the differences between democratic and fascist states.",1942,53,"['documentation', 'war']",7.0,3.877,Paramount
Santa Fe Trail,MOVIE,"As a penalty for fighting fellow classmates days before graduating from West Point, J.E.B. Stuart, George Armstrong Custer and four friends are assigned to the 2nd Cavalry, stationed at Fort Leavenworth. While there they aid in the capture and execution of the abolitionist, John Brown following the Battle of Harper's Ferry.",1940,110,"['western', 'war', 'drama', 'history', 'romance']",6.2,5.925,Paramount
Dick Tracy,MOVIE,Detective Tracy (Morgan Conway) rescues Tess Trueheart (Anne Jeffreys) and Junior from a killer called Splitface (Mike Mazurki).,1945,61,"['action', 'crime', 'thriller', 'family']",5.9,2.627,Paramount
Woman on the Run,MOVIE,"Frank Johnson, a sole witness to a gangland murder, goes into hiding and is trailed by Police Inspector Ferris, on the theory that Frank is trying to escape from possible retaliation. Frank's wife, Eleanor, suspects he is actually running away from their unsuccessful marriage. Aided by a newspaperman, Danny Leggett, Eleanor sets out to locate her husband. The killer is also looking for him, and keeps close tabs on Eleanor.",1950,77,"['drama', 'crime', 'thriller']",7.2,4.814,Paramount
Life with Father,MOVIE,A straitlaced turn-of-the-century father presides over a family of boys and the mother who really rules the roost.,1947,118,"['comedy', 'family']",7.1,4.151,Paramount
Nothing Sacred,MOVIE,"When a small-town girl is diagnosed with a rare, deadly disease, an ambitious newspaper man turns her into a national heroine.",1937,77,"['romance', 'drama', 'fantasy', 'comedy']",6.9,4.764,Paramount
Penny Serenade,MOVIE,"While listening to a recording of Penny Serenade, Julie Gardiner Adams begins reflecting on her past. She recalls her impulsive marriage to newspaper reporter Roger Adams, which begins on a deliriously happy note but turns out to be fraught with tragedy. Other songs remind her of their courtship, their marriage, their desire for a child, and the joys and sorrows they have shared. A flood of memories come back to her as she ponders on their present problems and how they arose.",1941,119,"['romance', 'drama']",7.1,5.767,Paramount
He Walked by Night,MOVIE,"This film-noir piece, told in semi-documentary style, follows police on the hunt for a resourceful criminal who shoots and kills a cop.",1949,79,"['thriller', 'crime']",7.1,5.253,Paramount
Algiers,MOVIE,"Pepe Le Moko is a notorious thief, who escaped from France. Since his escape, Moko became a resident and leader of the immense Casbah of Algiers. French officials arrive insisting on Pepe's capture are met with unfazed local detectives, led by Inspector Slimane, who are biding their time. Meanwhile, Pepe meets the beautiful Gaby , which arouses the jealousy of Ines",1938,96,"['drama', 'romance']",6.7,2.472,Paramount
Jack London,MOVIE,The adventurous and remarkable life of the US writer Jack London (1876-1916).,1943,94,"['drama', 'war', 'romance']",5.1,2.022,Paramount
Broken Blossoms,MOVIE,The love story of an abused English girl and a Chinese Buddhist in a time when London was a brutal and harsh place to live.,1919,89,"['romance', 'drama']",7.3,6.012,Paramount
Too Late for Tears,MOVIE,"One night on a lonely highway, a speeding car tosses a satchel of money, meant for somebody else, into Jane and Alan Palmer's back seat. Alan wants to turn it over to the police, but Jane persuades him to hang onto it 'for a while'. Soon, the Palmers are traced by one Danny Fuller, a sleazy character who claims the money is his.",1949,99,"['crime', 'thriller', 'drama']",7.3,5.145,Paramount
Orphans of the Storm,MOVIE,"France, on the eve of the French Revolution. Henriette and Louise have been raised together as sisters. When the plague that takes their parents' lives causes Louise's blindness, they decide to travel to Paris in search of a cure, but they separate when a lustful aristocrat crosses their path.",1921,150,"['drama', 'history', 'romance']",7.3,5.002,Paramount
Let There Be Light,MOVIE,"The final entry in a trilogy of films produced for the U.S. government by John Huston. Some returning combat veterans suffer scars that are more psychological than physical. This film follows patients and staff during their treatment. It deals with what would now be called PTSD, but at the time was categorised as psychoneurosis or shell-shock. Government officials deemed this 1946 film counterproductive to postwar efforts; it was not shown publicly until 1981.",1946,58,"['war', 'documentation']",7.4,3.226,Paramount
The Red House,MOVIE,"An old man and his sister are concealing a terrible secret from their adopted teen daughter, concerning a hidden abandoned farmhouse, located deep in the woods.",1947,100,"['thriller', 'horror', 'drama']",6.8,3.991,Paramount
Payoff in the Pacific,MOVIE,A documentary on .S. efforts against the Japanese during the Second World War.,1945,56,[],,0.6,Paramount
The Memphis Belle: A Story of a Flying Fortress,MOVIE,"This documentary centers on the crew of the B-17 Flying Fortress Memphis Belle as it prepares to execute a strategic bombing raid on sub-pens in Wilhelmshaven, Germany.",1944,45,"['war', 'documentation', 'history']",7.3,2.497,Paramount
Smash-Up: The Story of a Woman,MOVIE,A nightclub singer uses alcohol in excess to sooth her painful life.,1947,103,"['drama', 'music', 'romance']",6.4,2.302,Paramount
Submarine Warfare,MOVIE,"In the late 1800's the father of submarines, Mr John Holland, hit upon the idea of powering a submarine with an internal combustion engine and an electric motor. For over a hundred years, since the first semi-successful attempts during the American Civil War, submarine warfare had been fraught with difficulties and failure. In 1901, the Holland I was launched as the first Royal Navy submarine and submarines have been an integral part of the Navy ever since.",1944,38,"['war', 'documentation']",5.9,0.6,Paramount
Impact,MOVIE,"After surviving a murder attempt, an auto magnate goes into hiding so his wife can pay for the crime.",1949,111,"['thriller', 'crime', 'drama']",7.0,4.016,Paramount
College,MOVIE,"Brilliant in his studies and dismissive of athletics, Ronald finishes high school at the top of his class. But in college his uptight attitude doesn't win him any points with his sports-loving classmates, and pretty coed Mary ignores him in favor of brutish jock Jeff. Hoping to impress Mary, Ronald makes a buffoon of himself at every sport imaginable.",1927,66,"['comedy', 'drama', 'sport']",7.0,5.164,Paramount
The Devil Bat,MOVIE,"Dr. Carruthers feels bitter at being betrayed by his employers, Heath and Morton, when they became rich as a result of a product he devised. He gains revenge by electrically enlarging bats and sending them out to kill his employers' family members by instilling in the bats a hatred for a particular perfume he has discovered, which he gets his victims to apply before going outdoors. Johnny Layton, a reporter, finally figures out Carruthers is the killer and, after putting the perfume on himself, douses it on Carruthers in the hopes it will get him to give himself away. One of the two is attacked as the giant bat makes one of its screaming, swooping power dives.",1940,68,"['horror', 'scifi']",5.5,3.612,Paramount
