title,type,description,release_year,runtime,genres,imdb_score,tmdb_popularity,service
The Oklahoma Cyclone,MOVIE,"A cowboy looking for his missing father, poses as an outlaw and joins the gang he thinks is responsible.",1930,66,"['western', 'action', 'music', 'romance', 'comedy']",3.8,0.984,Paramount
Arizona Whirlwind,MOVIE,"US marshals Ken, Hoot and Bob stop a gang dressed as Indians from robbing the stage. After getting repairs at the relay station, but before they get to town, another trap is set, but they get away. In town, they search the stage and find nothing. But hidden in the axle grease can are diamonds. Polini wants them cut into smaller diamonds so that he can easily dispose of them.  Throughout this Western, the courageous trio faces off against cunning opponents, including the gang's merciless leader (Ian Keith) and an unsuspecting banker (Karl Hackett).",1944,59,"['western', 'action']",6.0,0.921,Paramount
Attack: The Battle for New Britain,MOVIE,"War - Documentary film depicting the attack by Allied forces on the Japanese strong-holds of Arawe Beach and Cape Gloucester, New Britain, in the South Pacific theatre of the Second World War in 1943. -  Leo Genn, Burgess Meredith, Anthony Veiller",1944,54,"['war', 'documentation', 'action']",6.3,1.241,Paramount
Aces and Eights,MOVIE,A card sharp steps in when a Mexican family's ranch is threatened by swindlers and cheats.,1936,62,"['western', 'action', 'crime']",5.4,1.017,Paramount
Lawless Land,MOVIE,"Jeff arrives in town to see the Sheriff only to find him just killed. The culprit is Clay Wheeler. When Jeff becomes friendly with Letty, Clay sends his man Ortega to kill him. Jeff foils the attempt and gets him to confess that Clay was the killer. With only old-timers Lafe and Bill to help, Jeff heads after Clay and his gang.",1937,55,"['western', 'romance', 'action']",5.7,0.949,Paramount
The Godfather,MOVIE,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",1972,175,"['drama', 'crime']",9.2,61.778,Paramount
The Twilight Zone,SHOW,"A series of unrelated stories containing drama, psychological thriller, fantasy, science fiction, suspense, and/or horror, often concluding with a macabre or unexpected twist.",1959,28,"['scifi', 'drama', 'fantasy', 'horror', 'thriller']",9.1,29.897,Paramount
Star Trek,SHOW,"Star Trek is an American science fiction television series created by Gene Roddenberry that follows the adventures of the starship USS Enterprise and its crew.

The show is set in the Milky Way galaxy, roughly during the 2260s. The crew is headed by Captain James T. Kirk, first officer Spock, and chief medical officer Leonard McCoy. Shatner's voice-over introduction during each episode's opening credits stated the starship's purpose:

The series was produced from 1966-67 by Desilu Productions, and by Paramount Television from 1968-69. Star Trek aired on NBC from September 8, 1966 to June 3, 1969. Although this television series had the title of Star Trek, it later acquired the retronym of Star Trek: The Original Series to distinguish the show within the media franchise that it began. Star Trek's Nielsen ratings while on NBC were low, and the network canceled it after three seasons and 79 episodes. Nevertheless, the show had a major influence on popular culture and it became a cult classic in broadcast syndication during the 1970s. The show eventually spawned a franchise, consisting of five additional television series, 12 theatrical films, and numerous books, games, toys, and other products.",1966,50,"['scifi', 'action']",8.4,123.805,Paramount
The Godfather: Part II,MOVIE,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",1974,195,"['drama', 'crime']",9.0,48.475,Paramount
Grease,MOVIE,"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?",1978,110,"['romance', 'comedy']",7.2,33.821,Paramount
Once Upon a Time in the West,MOVIE,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",1968,166,"['western', 'european']",8.5,19.94,Paramount
I Love Lucy,SHOW,"Cuban Bandleader Ricky Ricardo would be happy if his wife Lucy would just be a housewife. Instead she tries constantly to perform at the Tropicana where he works, and make life comically frantic in the apartment building they share with landlords Fred and Ethel Mertz, who also happen to be their best friends.",1951,30,"['comedy', 'family']",8.5,17.088,Paramount
The Conversation,MOVIE,"Surveillance expert Harry Caul is hired by a mysterious client's brusque aide to tail a young couple. Tracking the pair through San Francisco's Union Square, Caul and his associate Stan manage to record a cryptic conversation between them. Tormented by memories of a previous case that ended badly, Caul becomes obsessed with the resulting tape, trying to determine if the couple is in danger.",1974,113,"['drama', 'thriller']",7.8,14.48,Paramount
Happy Days,SHOW,"In 1950s Milwaukee the Cunningham family must contend with Fonzie, a motorcycle riding Casanova.",1974,24,"['comedy', 'history', 'music', 'family', 'thriller', 'scifi']",7.3,19.994,Paramount
Cabaret,MOVIE,"Inside the Kit Kat Club of 1931 Berlin, starry-eyed singer Sally Bowles and an impish emcee sound the clarion call to decadent fun, while outside a certain political party grows into a brutal force.",1972,108,"['drama', 'music', 'romance']",7.7,11.211,Paramount
Gunsmoke,SHOW,"Gunsmoke is an American radio and television Western drama series created by director Norman MacDonnell and writer John Meston. The stories take place in and around Dodge City, Kansas, during the settlement of the American West. The central character is lawman Marshal Matt Dillon, played by William Conrad on radio and James Arness on television.",1955,49,"['action', 'western']",8.0,24.361,Paramount
Rosemary's Baby,MOVIE,"A young couple, Rosemary and Guy, moves into an infamous New York apartment building, known by frightening legends and mysterious events, with the purpose of starting a family.",1968,138,"['thriller', 'horror', 'drama']",8.0,22.046,Paramount
Three Days of the Condor,MOVIE,"A bookish CIA researcher finds all his co-workers dead, and must outwit those responsible until he figures out who he can really trust.",1975,117,"['thriller', 'crime']",7.4,13.807,Paramount
The Warriors,MOVIE,"Prominent gang leader Cyrus calls a meeting of New York's gangs to set aside their turf wars and take over the city. At the meeting, a rival leader kills Cyrus, but a Coney Island gang called the Warriors is wrongly blamed for Cyrus' death. Before you know it, the cops and every gangbanger in town is hot on the Warriors' trail.",1979,93,"['thriller', 'crime', 'action']",7.6,19.259,Paramount
The Love Boat,SHOW,"Passengers who search for romantic nights aboard a beautiful ship travelling to tropical or mysterious countries, decide to pass their vacation aboard the ""Love Boat"", where Gopher, Dr. Bricker, Isaac, Julie, and Captain Stubing try their best to please them, and sometimes help them fall in love. Things are not always so easy, but in the end, love wins.",1977,60,"['comedy', 'drama', 'romance']",6.2,41.051,Paramount
Breakfast at Tiffany's,MOVIE,"Holly Golightly is an eccentric New York City playgirl determined to marry a Brazilian millionaire. But when young writer Paul Varjak moves into her apartment building, her past threatens to get in their way.",1961,115,"['comedy', 'drama', 'romance']",7.6,17.256,Paramount
Marathon Man,MOVIE,"A graduate student and obsessive runner in New York is drawn into a mysterious plot involving his brother, a member of the secretive Division.",1976,125,"['thriller', 'crime', 'european']",7.4,8.696,Paramount
The Brady Bunch,SHOW,"When widower Mike Brady marries a lovely lady widow Carol Ann, their two families become one. These are the misadventures of this new couple, their six children, a dog named Tiger, and quirky housekeeper Alice.",1969,25,"['comedy', 'family']",6.7,15.042,Paramount
Serpico,MOVIE,"Frank Serpico is an idealistic New York City cop who refuses to take bribes, unlike the rest of the force. His actions get Frank shunned by the other officers, and often placed in dangerous situations by his partners. When his superiors ignore Frank's accusations of corruption, he decides to go public with the allegations. Although this causes the Knapp Commission to investigate his claims, Frank has also placed a target on himself.",1973,130,"['crime', 'drama', 'thriller', 'european']",7.7,16.729,Paramount
Paper Moon,MOVIE,"During the Great Depression, a con man finds himself saddled with a young girl—who may or may not be his daughter—and the two forge an unlikely partnership.",1973,102,"['crime', 'drama', 'comedy']",8.1,10.02,Paramount
To Catch a Thief,MOVIE,"An ex-thief is accused of enacting a new crime spree, so to clear his name he sets off to catch the new thief, who’s imitating his signature style.",1955,107,"['crime', 'drama', 'thriller', 'romance']",7.4,9.763,Paramount
Days of Heaven,MOVIE,"In 1916, a Chicago steel worker accidentally kills his supervisor and flees to the Texas panhandle with his girlfriend and little sister to work harvesting wheat in the fields of a stoic farmer.",1978,94,"['drama', 'romance']",7.8,8.771,Paramount
The Poseidon Adventure,MOVIE,"When their ocean liner capsizes, a group of passengers struggle to survive and escape.",1972,117,"['thriller', 'action', 'drama']",7.1,15.041,Paramount
Star Trek: The Motion Picture,MOVIE,"When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it.",1979,132,['scifi'],6.4,17.488,Paramount
Escape From Alcatraz,MOVIE,"San Francisco Bay, January 18, 1960. Frank Lee Morris is transferred to Alcatraz, a maximum security prison located on a rocky island. Although no one has ever managed to escape from there, Frank and other inmates begin to carefully prepare an escape plan.",1979,113,"['thriller', 'action', 'crime', 'drama']",7.6,41.57,Paramount
Ordinary People,MOVIE,"Beth, Calvin, and their son Conrad are living in the aftermath of the death of the other son. Conrad is overcome by grief and misplaced guilt to the extent of a suicide attempt. He is in therapy. Beth had always preferred his brother and is having difficulty being supportive to Conrad. Calvin is trapped between the two trying to hold the family together.",1980,124,['drama'],7.7,11.959,Paramount
The Quiet Man,MOVIE,"An American man returns to the village of his birth in Ireland, where he finds love and conflict.",1952,129,"['romance', 'comedy', 'drama']",7.7,10.372,Paramount
Mission: Impossible,SHOW,"Mission: Impossible is an American television series that was created and initially produced by Bruce Geller. It chronicles the missions of a team of secret government agents known as the Impossible Missions Force. In the first season, the team is led by Dan Briggs, played by Steven Hill; Jim Phelps, played by Peter Graves, takes charge for the remaining seasons. A hallmark of the series shows Briggs or Phelps receiving his instructions on a recording that then self-destructs, followed by the theme music composed by Lalo Schifrin.

The series aired on the CBS network from September 1966 to March 1973, then returned to television for two seasons on ABC, from 1988 to 1990, retaining only Graves in the cast. It later inspired a popular series of theatrical motion pictures starring Tom Cruise, beginning in 1996.",1966,60,"['action', 'crime', 'drama', 'thriller', 'family']",7.9,26.05,Paramount
60 Minutes,SHOW,America's popular television News magazine in which an ever changing team of CBS News correspondents contribute segments ranging from hard news coverage to politics to lifestyle and pop culture.,1968,47,['documentation'],7.4,20.022,Paramount
Hawaii Five-O,SHOW,"Hawaii Five-O is an American police procedural drama series produced by CBS Productions and Leonard Freeman. Set in Hawaii, the show originally aired for 12 seasons from 1968 to 1980, and continues in reruns. Jack Lord portrayed Detective Lieutenant Steve McGarrett, the head of a special state police task force which was based on an actual unit that existed under martial law in the 1940s. The theme music composed by Morton Stevens became especially popular. Many episodes would end with McGarrett instructing his subordinate to ""Book 'em, Danno!"", sometimes specifying a charge such as ""murder one"".",1968,51,"['action', 'crime', 'drama']",7.4,33.222,Paramount
Night of the Living Dead,MOVIE,A group of people try to survive an attack of bloodthirsty zombies while trapped in a rural Pennsylvania farmhouse.,1968,96,"['thriller', 'horror']",7.9,16.931,Paramount
Star Trek: The Animated Series,SHOW,"The animated adventures of Captain Kirk, Mr. Spock and the crew of the Starship Enterprise.",1973,24,"['scifi', 'family', 'animation', 'action']",7.3,8.833,Paramount
Invasion of the Body Snatchers,MOVIE,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,1956,80,"['scifi', 'horror', 'drama']",7.7,9.278,Paramount
The Town That Dreaded Sundown,MOVIE,"A Texas Ranger hunts for a hooded serial killer terrorizing the residents of a small town, set in 1946 Arkansas. Loosely based on a true story.",1976,86,"['thriller', 'crime', 'horror', 'drama']",6.0,6.769,Paramount
The War of the Worlds,MOVIE,"The residents of a small town are excited when a flaming meteor lands in the hills, until they discover it is the first of many transport devices from Mars bringing an army of invaders invincible to any man-made weapon, even the atomic bomb.",1953,85,"['scifi', 'action', 'thriller']",7.0,14.407,Paramount
Carnival of Souls,MOVIE,"Mary Henry ends up the sole survivor of a fatal car accident through mysterious circumstances. Trying to put the incident behind her, she moves to Utah and takes a job as a church organist. But her fresh start is interrupted by visions of a fiendish man. As the visions begin to occur more frequently, Mary finds herself drawn to the deserted carnival on the outskirts of town. The strangely alluring carnival may hold the secret to her tragic past.",1962,78,['horror'],7.1,6.605,Paramount
Heaven Can Wait,MOVIE,"Joe Pendleton is a quarterback preparing to lead his team to the superbowl when he is almost killed in an accident. An overanxious angel plucks him to heaven only to discover that he wasn't ready to die, and that his body has been cremated. A new body must be found, and that of a recently-murdered millionaire is chosen. His wife and accountant—the murderers—are confused by this development, as he buys the L.A. Rams in order to once again quarterback them into the Superbowl.",1978,101,"['fantasy', 'romance', 'sport', 'comedy', 'european']",6.9,8.656,Paramount
The Mechanic,MOVIE,"Arthur Bishop is a veteran hit man who, owing to his penchant for making his targets' deaths seem like accidents, thinks himself an artist. It's made him very rich, but as he hits middle age, he's so depressed and lonely that he takes on one of his victim's sons, Steve McKenna, as his apprentice. Arthur puts him through a rigorous training period and brings him on several hits. As Steven improves, Arthur worries that he'll discover who killed his father.",1972,100,"['thriller', 'action', 'crime']",6.8,8.649,Paramount
The Odd Couple,SHOW,"The Odd Couple is a television situation comedy broadcast from September 24, 1970 to March 7, 1975 on ABC. It stars Tony Randall as Felix Unger and Jack Klugman as Oscar Madison, and was the first of several developed by Garry Marshall for Paramount Television. The show is based upon the play of the same name, which was written by Neil Simon.

Felix and Oscar are two divorced men. Felix is neat and tidy while Oscar is sloppy and casual. They share a Manhattan apartment, and their different lifestyles inevitably lead to conflicts and laughs.

In 1997, the episodes ""Password"" and ""The Fat Farm"" were ranked #5 and #58 on TV Guide's 100 Greatest Episodes of All Time. The show received three nominations for the Primetime Emmy Award for Outstanding Comedy Series. Its fourth season, from 1973–74, remains the most recent nominee for a show that aired during a Friday time slot.",1970,27,['comedy'],7.9,10.61,Paramount
True Grit,MOVIE,"The murder of her father sends a teenage tomboy on a mission of 'justice', which involves avenging her father's death. She recruits a tough old marshal, 'Rooster' Cogburn because he has 'true grit', and a reputation of getting the job done.",1969,123,"['western', 'drama']",7.4,14.795,Paramount
The Great Gatsby,MOVIE,"Nick Carraway, a young Midwesterner now living on Long Island, finds himself fascinated by the mysterious past and lavish lifestyle of his neighbor, the nouveau riche Jay Gatsby. He is drawn into Gatsby's circle, becoming a witness to obsession and tragedy.",1974,138,"['drama', 'romance']",6.4,10.169,Paramount
Love Story,MOVIE,"Harvard Law student Oliver Barrett IV and music student Jennifer Cavilleri share a chemistry they cannot deny - and a love they cannot ignore. Despite their opposite backgrounds, the young couple put their hearts on the line for each other. When they marry, Oliver's wealthy father threatens to disown him. Jenny tries to reconcile the Barrett men, but to no avail.",1970,99,"['drama', 'romance', 'european']",6.0,9.505,Paramount
The Odd Couple,MOVIE,"In New York, Felix, a neurotic news writer who just broke up with his wife, is urged by his chaotic friend Oscar, a sports journalist, to move in with him, but their lifestyles are as different as night and day are, so Felix's ideas about housekeeping soon begin to irritate Oscar.",1968,106,['comedy'],7.6,9.337,Paramount
Little Fauss and Big Halsy,MOVIE,A banned motorcycle racer becomes mechanic for a selfish braggart who races under his name.,1970,99,['drama'],5.9,2.549,Paramount
X: The Man with the X-Ray Eyes,MOVIE,"A doctor uses special eye drops to give himself x-ray vision, but the new power has disastrous consequences.",1963,79,"['horror', 'scifi', 'thriller']",6.6,8.427,Paramount
Semi-Tough,MOVIE,A three-way friendship between two free-spirited professional football players and the owner's daughter becomes compromised when two of them become romantically involved.,1977,108,"['romance', 'comedy', 'sport']",5.9,3.951,Paramount
The Little Shop of Horrors,MOVIE,"Seymour works in a skid row florist shop and is in love with his beautiful co-worker, Audrey. He creates a new plant that not only talks but cannot survive without human flesh and blood.",1960,70,"['horror', 'comedy']",6.2,6.376,Paramount
The Dogs of War,MOVIE,"Mercenary James Shannon, on a reconnaissance job to the African nation of Zangaro, is tortured and deported. He returns to lead a coup.",1980,118,"['thriller', 'action', 'drama', 'war']",6.3,8.729,Paramount
You Can't Do That on Television,SHOW,"You Can't Do That on Television is a Canadian television program that first aired locally in 1979 before airing internationally in 1981. It featured pre-teen and teenaged actors in a sketch comedy format. Each episode had a theme. The show was notable for launching the careers of many performers, including Alanis Morissette, and writer Bill Prady, who would write and produce shows like The Big Bang Theory, Gilmore Girls and Dharma and Greg.

The show was produced by and aired on Ottawa's CTV station CJOH-TV. After production ended in 1990, the show continued in reruns on Nickelodeon through 1994, when it was replaced with the similar All That. The show is synonymous with Nick, and was at that time extremely popular, with the highest ratings overall on the channel. The show is also well known for introducing the network's iconic slime.

The program is the subject of the 2004 feature-length documentary, You Can't Do That on Film, directed by David Dillehunt.",1979,31,"['comedy', 'family']",8.1,4.88,Paramount
The Longest Yard,MOVIE,"In this rough-and-tumble yarn, actually filmed on-location at the Georgia State Prision, the cons are the heroes and the guards are the heavies. Eddie Albert is the sadistic warden who'll gladly make any sacrifice to push his guards' semi-pro football team to a national championship.",1974,118,"['crime', 'drama', 'comedy', 'sport']",7.1,9.723,Paramount
King Kong,MOVIE,"In this remake of the 1933 classic, an oil company expedition disturbs the peace of a giant ape and brings him back to New York to exploit him.",1976,134,"['fantasy', 'horror']",5.9,20.724,Paramount
Messiah of Evil,MOVIE,"A young woman searching for her missing artist father finds herself in the strange seaside town of Point Dune, which seems to be under the influence of a mysterious undead cult.",1973,90,['horror'],6.4,4.456,Paramount
The Young and the Restless,SHOW,"The rivalries, romances, hopes and fears of the residents of the fictional Midwestern metropolis, Genoa City. The lives and loves of a wide variety of characters mingle through the generations, dominated by the Newman, Abbott, Baldwin and Winters families.",1973,34,"['drama', 'romance']",5.1,74.76,Paramount
Paint Your Wagon,MOVIE,"A Michigan farmer and a prospector form a partnership in the California gold country. Their adventures include buying and sharing a wife, hijacking a stage, kidnapping six prostitutes, and turning their mining camp into a boom town. Along the way there is plenty of drinking, gambling, and singing. They even find time to do some creative gold mining.",1969,164,"['western', 'comedy', 'drama', 'romance']",6.6,8.64,Paramount
Beat the Devil,MOVIE,"The script, which was written on a day-to-day basis as the film was being shot, concerns the adventures of a motley crew of swindlers and ne'er-do-wells trying to lay claim to land rich in uranium deposits in Kenya as they wait in a small Italian port to travel aboard an ill-fated tramp steamer en route to Mombasa.",1953,89,"['comedy', 'action', 'crime', 'drama', 'romance']",6.4,7.103,Paramount
The Shootist,MOVIE,"Afflicted with a terminal illness John Bernard Brooks, the last of the legendary gunfighters, quietly returns to Carson City for medical attention from his old friend Dr. Hostetler. Aware that his days are numbered, the troubled man seeks solace and peace in a boarding house run by a widow and her son. However, it is not Brooks' fate to die in peace, as he becomes embroiled in one last valiant battle.",1976,100,"['western', 'drama', 'romance']",7.6,10.583,Paramount
Planet of the Vampires,MOVIE,"In the near future the two spaceships Argos and Galliot are sent to investigate the mysterious planet Aura. As the Galliot lands on the planet her crew suddenly go berserk and attack each other. The strange event passes, but the crew soon discovers the crashed Argos - and learns that her crew died fighting each other! Investigating further, the explorers come to realize the existence of a race of bodiless aliens that seek to escape from their dying world.",1965,88,"['scifi', 'horror', 'european', 'family', 'action']",6.2,6.12,Paramount
The Earthling,MOVIE,"Recently diagnosed with a terminal illness, a man returns home to Australia to die in the wildness. His plans become complicated when he meets a young boy and decides to take him under his wing.",1980,97,"['action', 'drama']",6.9,2.952,Paramount
Downhill Racer,MOVIE,"An ambitious young skier, determined to break all existing records, is contemptuous of the teamwork advocated by the US coach when they go to Europe for the Olympics.",1969,102,"['drama', 'sport']",6.3,8.553,Paramount
Prophecy,MOVIE,"When a dispute occurs between a logging operation and a nearby Native American tribe, Dr. Robert Verne and his wife, Maggie, are sent in to mediate. Chief John Hawks insists the loggers are poisoning the water supply, and, though company man Isley denies it, the Vernes can't ignore the strangely mutated wildlife roaming the woods. Robert captures a bear cub for testing and soon finds himself the target of an angry mutant grizzly.",1979,102,"['horror', 'scifi', 'thriller']",5.5,6.357,Paramount
The Hospital,MOVIE,A suicidal doctor struggles to find meaning in his life while a murderer stalks the halls of his hospital.,1971,103,"['comedy', 'drama']",7.1,4.81,Paramount
To All a Goodnight,MOVIE,A group of teenagers at a party find themselves being stalked by a maniacal killer in a Santa Claus costume.,1980,87,"['horror', 'thriller']",4.6,4.059,Paramount
McLintock!,MOVIE,"Ageing, wealthy, rancher and self-made man, George Washington McLintock is forced to deal with numerous personal and professional problems. Seemingly everyone wants a piece of his enormous farmstead, including high-ranking government men, McLintock's own sons and nearby Native Americans. As McLintock tries to juggle his various adversaries, his wife—who left him two years previously—suddenly returns. But she isn't interested in George; she wants custody of their daughter.",1963,127,"['western', 'romance', 'comedy']",7.1,13.737,Paramount
The Haunted Palace,MOVIE,A warlock burned at the stake comes back and takes over the body of his great grandson to take his revenge on the descendents of the villages that burned him.,1963,87,['horror'],6.7,7.216,Paramount
The Secret Invasion,MOVIE,"During World War II, convicts are recruited by the Allies for an extremely hazardous mission.",1964,95,"['drama', 'war', 'action', 'history']",5.9,3.863,Paramount
The Angel Levine,MOVIE,"Morris Mishkin is a elderly religious Jew in New York. His wife Fanny is very ill. He's a tailor, but he can't work because his back has given out. He doesn't even have enough money for Fanny's medicine. Finally, a black fellow appears from nowhere in the Mishkin kitchen. He says he's an angel from God, sent to help Mishkin. The black angel is even Jewish, named Alex Levine? But will Morris believe in the angel? And can the angel perform the miracle that he promises?",1970,106,['drama'],6.0,1.639,Paramount
Hondo,MOVIE,"Army despatch rider Hondo Lane discovers a woman and her son living in the midst of warring Apaches, and he becomes their protector.",1953,83,"['western', 'drama', 'romance', 'war']",7.0,9.367,Paramount
"Race for Your Life, Charlie Brown",MOVIE,"The Peanuts gang, including Snoopy and Woodstock, have gone off to summer camp. After a few days of the usual summer-camp activities, they all take part in a rafting race. Battling treacherous rapids, wild animals and bullies from a rival tent, the teams make their way downriver to the finish line.",1977,76,"['comedy', 'animation', 'family']",7.2,5.05,Paramount
Harry in Your Pocket,MOVIE,A master thief and his drug-addicted partner teach two aspiring crooks how to steal wallets.,1973,103,"['comedy', 'crime', 'drama']",6.3,2.352,Paramount
Lifeguard,MOVIE,"Rick is a Los Angeles County lifeguard who is in his thirties. At his 15-year high school reunion, he sees his old girlfriend who is now a divorced mother. After falling in love with her, Rick considers changing his career and lifestyle.",1976,96,"['comedy', 'drama']",6.6,4.628,Paramount
Black Sunday,MOVIE,An Israeli anti-terrorist agent must stop a disgruntled Vietnam vet cooperating in a Black September PLO plot to commit a terrorist attack at the Super Bowl.,1977,143,"['thriller', 'crime', 'drama']",6.8,7.995,Paramount
Dementia 13,MOVIE,"Shocked by the death of her spouse, a scheming widow hatches a bold plan to get her hands on the inheritance, unaware that she is targeted by an axe-wielding murderer who lurks in the family's estate. What mystery shrouds the noble house?",1963,75,"['horror', 'thriller']",5.7,6.145,Paramount
The Bat,MOVIE,"Mystery writer Cornelia Van Gorder has rented a country house called ""The Oaks"", which not long ago was the scene of some murders committed by a strange and violent criminal known as ""The Bat"". Meanwhile, the house's owner, bank president John Fleming, has recently embezzled one million dollars in securities and has hidden the proceeds in the house, but is killed before he can retrieve it.",1959,80,"['thriller', 'horror']",6.0,5.879,Paramount
The Group,MOVIE,"It's 1933, and eight young women are friends and members of the upper- class group at a private girl's school, about to graduate and start their own lives. The film documents the years between their graduation and the beginning of the World War in Europe, and shows, in a serialized style, their romances and marriages, their searches for careers or meaning in their lives, their highs and their lows.",1966,150,['drama'],6.6,4.332,Paramount
A Bucket of Blood,MOVIE,"Nerdy Walter Paisley (Dick Miller), a maladroit busboy at a beatnik café who doesn't fit in with the cool scene around him, attempts to woo his beautiful co-worker, Carla (Barboura Morris), by making a bust of her. When his klutziness results in the death of his landlady's cat, he panics and hides its body under a layer of plaster. But when Carla and her friends enthuse over the resulting artwork, Walter decides to create some bigger and more elaborate pieces using the same artistic process.",1959,66,"['horror', 'crime', 'comedy']",6.7,7.168,Paramount
Indiscretion of an American Wife,MOVIE,"While on vacation in Rome, married American Mary Forbes becomes entangled in an affair with an Italian man, Giovanni Doria. As she prepares to leave Italy, Giovanni confesses his love for her; he doesn't want her to go. Together they wander the railroad station where Mary is to take the train to Paris, then ultimately reunite with her husband and daughter in Philadelphia. Will she throw away her old life for this passionate new romance?",1953,63,"['drama', 'romance', 'european']",6.2,5.193,Paramount
The Incredible Melting Man,MOVIE,"An astronaut exposed to cosmic rays outside of Saturn's rings returns to Earth and begins to melt away. Escaping from the hospital, he wanders around the backwoods looking for human flesh to eat.",1977,84,"['horror', 'scifi']",4.1,4.313,Paramount
The Shout,MOVIE,"Bored while officiating a cricket match at a psychiatric hospital, Crossley tells Graves (a visitor) the tale of a mysterious stranger (also named Crossley) who invades the lives and house of a local musician and his wife. The stranger claims knowledge of real magic, which he uses to displace his host and dominate his wife. The musician must find a way to combat Crossley and his seemingly implacable powers. Graves doubts Crossley's claim that the story is true, and begins to believe that Crossley is actually one of the patients.",1978,86,"['horror', 'drama']",6.6,6.924,Paramount
The Terror,MOVIE,A young officer in Napoleon's army pursues a mysterious woman to the castle of an elderly Baron.,1963,81,"['thriller', 'horror']",5.0,6.282,Paramount
New Year's Evil,MOVIE,"During a New Year's Eve celebration, a punk-rock singer gets a phone call saying that when New Year's strikes in each time zone, someone will be murdered--and she will be the last one.",1980,86,"['horror', 'thriller']",4.8,5.12,Paramount
The Hunter,MOVIE,"During his long career, bounty hunter Ralph ""Papa"" Thorson has caught over 5,000 criminals. Now, while he is working on apprehending fugitives in Illinois, Texas and Nebraska, he himself is being hunted by a psychotic killer.",1980,93,"['thriller', 'comedy', 'crime', 'drama', 'action']",6.2,10.443,Paramount
Gunfight at the O.K. Corral,MOVIE,Lawman Wyatt Earp and outlaw Doc Holliday form an unlikely alliance which culminates in their participation in the legendary Gunfight at the O.K. Corral.,1957,122,"['western', 'drama']",7.2,10.056,Paramount
The Brain That Wouldn't Die,MOVIE,"Dr. Bill Cortner and his fiancée, Jan Compton, are driving to his lab when they get into a horrible car accident. Compton is decapitated. But Cortner is not fazed by this seemingly insurmountable hurdle. His expertise is in transplants, and he is excited to perform the first head transplant. Keeping Compton's head alive in his lab, Cortner plans the groundbreaking yet unorthodox surgery. First, however, he needs a body.",1962,82,"['horror', 'scifi', 'comedy']",4.4,5.648,Paramount
Suddenly,MOVIE,"The tranquility of a small town is marred only by sheriff Tod Shaw's unsuccessful courtship of widow Ellen Benson, a pacifist who can't abide guns and those who use them. But violence descends on Ellen's household willy-nilly when the U.S. President passes through town... and slightly psycho hired assassin John Baron finds the Benson home ideal for an ambush.",1954,77,"['thriller', 'drama', 'crime']",6.8,5.402,Paramount
Royal Wedding,MOVIE,"Tom and Ellen are asked to perform as a dance team in England at the time of Princess Elizabeth's wedding. As brother and sister, each develops a British love interest, Ellen with Lord John Brindale and Tom with dancer Anne Ashmond.",1951,93,"['romance', 'comedy', 'documentation']",6.7,5.311,Paramount
Salt of the Earth,MOVIE,"Based on an actual strike against the Empire Zinc Mine in New Mexico, the film deals with the prejudice against the Mexican-American workers, who struck to attain wage parity with Anglo workers in other mines and to be treated with dignity by the bosses.",1954,94,"['drama', 'history']",7.4,3.582,Paramount
Cul-de-sac,MOVIE,"A wounded criminal and his dying partner take refuge at an old beachfront fortress. The owner of the fortress and his young wife, initially unwilling hosts, quickly experience their relationship with the criminal shift in a humorous and bizarre fashion.",1966,113,"['comedy', 'drama', 'thriller']",7.0,7.732,Paramount
The Comedy of Terrors,MOVIE,"An undertaker who hasn't had any 'customers' in a long time is forced to pay one year's back-rent. To get money he starts to kill people, which brings absurd results.",1964,84,"['horror', 'comedy']",6.6,6.679,Paramount
The Killer Shrews,MOVIE,"Trapped on a remote island by a hurricane, a group discover a doctor has been experimenting on creating half sized humans. Unfortunately, his experiments have also created giant shrews, who when they have run out of small animals to eat, turn on the humans....",1959,69,"['horror', 'scifi']",4.0,5.115,Paramount
Kansas City Confidential,MOVIE,"A down-on-his-luck ex-GI finds himself framed for an armored car robbery. When he's finally released for lack of evidence--after having been beaten up and tortured by the police--he sets out to discover who set him up, and why. The trail leads him into Mexico and a web of hired killers and corrupt cops.",1952,99,"['thriller', 'crime', 'drama']",7.3,5.873,Paramount
Heathcliff,SHOW,"Heathcliff is an animated TV series that debuted on October 4, 1980. It was the first series based on the Heathcliff comic strip and was produced by Ruby-Spears Productions. It ran until September 18, 1982 with a total of 25 episodes, under two different names.",1980,22,"['animation', 'comedy', 'family']",6.5,7.904,Paramount
