title,type,description,release_year,runtime,genres,imdb_score,tmdb_popularity,service
Getting On,SHOW,"Set in a geriatric extended care wing of a down-at-the-heels hospital, Getting On follows put-upon nurses, anxious doctors and administrators as they struggle with the darkly comic, brutally honest and quietly compassionate realities of caring for the elderly.",2013,28,['comedy'],7.7,6.431,HBO Max
The Normal Heart,MOVIE,"The story of the onset of the HIV-AIDS crisis in New York City in the early 1980s, taking an unflinching look at the nation's sexual politics as gay activists and their allies in the medical community fight to expose the truth about the burgeoning epidemic to a city and nation in denial.",2014,132,"['drama', 'history', 'romance']",7.9,7.755,HBO Max
Alan Partridge: Alpha Papa,MOVIE,Alan Partridge has had many ups and downs in life—national television broadcaster; responsible for killing a guest on live TV; local radio broadcaster; nervous breakdown in Dundee; and a self-published book that was subsequently recalled and pulped. Alan tries to salvage his public career while negotiating a potentially violent turn of events at North Norfolk Digital Radio.,2013,90,"['action', 'crime', 'comedy', 'european']",6.9,8.443,HBO Max
Jack the Giant Slayer,MOVIE,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",2013,114,"['fantasy', 'animation', 'thriller', 'family', 'comedy', 'action']",6.3,52.222,HBO Max
"Batman: The Dark Knight Returns, Part 2",MOVIE,Batman has stopped the reign of terror that The Mutants had cast upon his city.  Now an old foe wants a reunion and the government wants The Man of Steel to put a stop to Batman.,2013,78,['scifi'],,28.688,HBO Max
Bad Milo!,MOVIE,A horror comedy centered on a guy who learns that his unusual stomach problems are being caused by a demon living in his intestines.,2013,85,"['horror', 'comedy']",5.7,10.164,HBO Max
Admission,MOVIE,"Straitlaced Princeton University admissions officer, Portia Nathan is caught off-guard when she makes a recruiting visit to an alternative high school overseen by her former college classmate, the freewheeling John Pressman. Pressman has surmised that Jeremiah, his gifted yet very unconventional student, might well be the son that Portia secretly gave up for adoption many years ago.",2013,107,"['romance', 'comedy', 'drama']",5.7,9.351,HBO Max
Beware the Batman,SHOW,"Set during Bruce Wayne's early years as the Batman, following his initial period of battling organized crime. He hones his skills with the assistance of his butler, Alfred Pennyworth. Bruce is introduced to Alfred's goddaughter, Tatsu Yamashiro. Tatsu is a martial arts swordsmaster hired to act as Bruce's bodyguard, but also recruited to act as a superhero partner to Batman.",2013,22,"['action', 'crime', 'drama', 'scifi', 'animation']",7.3,18.167,HBO Max
Big Game,MOVIE,"Air Force One is shot down by terrorists, leaving the President of the United States stranded in the wilderness. 13-year old Oskari is also in that wilderness, on a hunting mission to prove his maturity to his kinsfolk by tracking down a deer, but instead discovers the President in an escape pod. With the terrorists closing in to capture their prize, the unlikely duo team up to escape their hunters.",2014,90,"['thriller', 'action', 'crime', 'european']",5.4,26.897,HBO Max
21 & Over,MOVIE,"Brilliant student Jeff Chang has the most important interview of his life tomorrow.  But today is still his birthday, what starts off as a casual celebration with friends evolves into a night of debauchery that risks to derail his life plan.",2013,91,['comedy'],5.8,17.012,HBO Max
Uncle Grandpa,SHOW,"The adventures of Uncle Grandpa who is out to help every child and adult in the world through the power of imagination. With his mystical R.V. and eternal optimism, Uncle Grandpa is always ready to greet the day - and everyone he meets - with his signature, ""Good Mornin'.""",2013,15,"['scifi', 'fantasy', 'animation', 'comedy', 'family']",4.3,37.097,HBO Max
Batman: Assault on Arkham,MOVIE,Batman works desperately to find a bomb planted by the Joker while Amanda Waller sends her newly-formed Suicide Squad to break into Arkham Asylum and recover vital information stolen by the Riddler.,2014,75,['thriller'],,27.932,HBO Max
The Legend of Hercules,MOVIE,"In Ancient Greece 1200 B.C., a queen succumbs to the lust of Zeus to bear a son promised to overthrow the tyrannical rule of the king and restore peace to a land in hardship. But this prince, Hercules, knows nothing of his real identity or his destiny. He desires only one thing: the love of Hebe, Princess of Crete, who has been promised to his own brother. When Hercules learns of his greater purpose, he must choose: to flee with his true love or to fulfill his destiny and become the true hero of his time. The story behind one of the greatest myths is revealed in this action-packed epic - a tale of love, sacrifice and the strength of the human spirit.",2014,99,"['action', 'fantasy']",4.2,22.078,HBO Max
Six by Sondheim,MOVIE,This intimate documentary explores the life and career of the stage legend Stephen Sondheim through six of his best-known songs.,2013,86,['documentation'],7.9,5.445,HBO Max
Meet the Patels,MOVIE,"Finding love is never easy. For Ravi Patel, a first generation Indian-American, the odds are slim. His ideal bride is beautiful, smart, funny, family-oriented, kind and—in keeping with tradition—Indian (though hopefully raised in the US). Oh, and her last name should be Patel because in India, Patels usually marry other Patels. And so at 30, Ravi decides to break up with his American girlfriend (the one who by all accounts is perfect for him except for her red hair and American name) and embark on a worldwide search for another Patel longing to be loved. He enlists the help of his matchmaker mother, attends a convention of Patels living in the US and travels to wedding season in India. Witty, honest and heartfelt, this comedy explores the questions with which we all struggle: What is love? What is happiness? And how in the world do we go about finding them?",2014,88,"['comedy', 'reality', 'romance', 'documentation']",7.1,4.893,HBO Max
The Kingdom of Dreams and Madness,MOVIE,"Follows the behind-the-scenes work of Studio Ghibli, focusing on the notable figures Hayao Miyazaki, Isao Takahata, and Toshio Suzuki.",2013,118,['documentation'],7.7,10.585,HBO Max
The Best Man Holiday,MOVIE,"When college friends reunite after 15 years over the Christmas holidays, they discover just how easy it is for long-forgotten rivalries and romances to be reignited.",2013,118,"['comedy', 'drama']",6.6,6.844,HBO Max
Gloria,MOVIE,"Gloria is a 58-year-old divorcée. Her children have all left home but she has no desire to spend her days and nights alone. Determined to defy old age and loneliness, she rushes headlong into a whirl of singles’ parties on the hunt for instant gratification – which only leads to repeated disappointment and enduring emptiness. But when Gloria meets Rodolfo, an ex-naval officer seven years her senior, she begins to imagine the possibility of a permanent relationship.",2013,105,"['drama', 'comedy', 'romance']",6.9,7.222,HBO Max
